player_name,pitcher,n_pitches,velo,whiff,zone,tot_xrv,cPV_plus
Trevor Megill,656730,753,94.58260292164674,0.15405046480743692,0.6733067729083665,7.299742345924033,151.5
Robert Suarez,663158,1076,96.63745353159851,0.13011152416356878,0.6802973977695167,7.651265209185266,137.6
Alex Vesia,681911,1000,89.2449,0.155,0.657,6.93262210111991,136.6
Andrew Kittredge,552640,768,91.92669270833333,0.15885416666666666,0.7018229166666666,5.114987384047253,135.1
Reid Detmers,672282,1083,88.77608494921515,0.1615881809787627,0.6685133887349953,6.703520806663578,132.6
Chase Burns,695505,764,95.39620418848168,0.16753926701570682,0.6531413612565445,4.609659164052202,131.7
Adrián Morejón,670970,994,94.538430583501,0.11468812877263582,0.6881287726358148,5.908686316948703,131.3
Randy Rodríguez,678495,808,92.43180693069306,0.1547029702970297,0.6633663366336634,4.781502425892586,131.1
Kenley Jansen,445276,869,91.93532796317606,0.14384349827387802,0.6962025316455697,5.128500701012869,131.0
Garrett Crochet,676979,3150,92.25139682539684,0.15174603174603174,0.6711111111111111,18.461635218297396,130.8
Caleb Thielbar,573204,826,85.71138014527845,0.13317191283292978,0.6694915254237288,4.835110631899464,130.8
Shota Imanaga,684007,2107,86.22306597057428,0.13099193165638348,0.6782154722354058,12.264101930549003,130.6
Steven Matz,571927,1159,89.18766177739431,0.091458153580673,0.6824849007765315,6.708658979754683,130.4
Tanner Scott,656945,901,92.9041065482797,0.16426193118756938,0.6970033296337403,5.199552697093122,130.3
Tarik Skubal,669373,2849,93.09648999649,0.1783081783081783,0.7030537030537031,15.99445188009528,129.5
Hunter Greene,668881,1748,94.8495995423341,0.16762013729977115,0.6859267734553776,9.716517746392524,129.2
Aroldis Chapman,547973,917,96.14503816793894,0.2050163576881134,0.7011995637949836,4.980653809343022,128.5
Jacob Degrom,594798,2614,93.10937260902831,0.15608263198163733,0.6633511859219586,14.098258177744295,128.3
José Ferrer,678606,1208,94.96390728476821,0.12334437086092716,0.6672185430463576,6.5030369341144985,128.2
Drew Rasmussen,656876,2316,92.69296200345423,0.1079447322970639,0.6550086355785838,12.403089263609633,128.1
