pitcher,pitch_type,n_pitches,tot_xrv,velo,hb,ivb,whiff,zone,cpv_per_100,pitch_cPV_plus,player_name
434378,CH,222,-2.4851321262352832,84.67882882882883,-1.0799999999999998,0.7807657657657658,0.13063063063063063,0.5855855855855856,-1.119428885691569,43.8,Justin Verlander
434378,CU,381,-1.4213082119132958,78.47007874015748,0.628503937007874,-1.0274278215223096,0.09973753280839895,0.6745406824146981,-0.3730467747803926,82.3,Justin Verlander
434378,FF,1182,0.27631731967815204,93.92131979695432,-0.7394500846023688,1.5528680203045686,0.09137055837563451,0.6582064297800339,0.023377099803566163,102.7,Justin Verlander
434378,SI,10,0.021682565658254313,93.27000000000001,-0.993,1.362,0.3,0.7,0.2168256565825431,112.7,Justin Verlander
434378,SL,607,2.3293974672529476,87.12883031301482,0.3377429983525535,0.4599341021416804,0.1828665568369028,0.6803953871499177,0.38375576066770145,121.3,Justin Verlander
434378,ST,206,-0.13604264404681335,80.66796116504854,0.9651456310679611,-0.1266504854368932,0.1262135922330097,0.5970873786407767,-0.06604011846932688,98.1,Justin Verlander
445276,FC,707,5.798096344454697,92.7987270155587,0.19892503536067896,1.5645403111739746,0.14002828854314003,0.71004243281471,0.8200984928507351,143.8,Kenley Jansen
445276,SI,80,-0.9163854610827767,93.20625,-0.65575,1.5707499999999999,0.1625,0.55,-1.145481826353471,42.5,Kenley Jansen
445276,SL,53,0.08208158822227102,83.92641509433963,0.5916981132075472,-0.25849056603773585,0.18867924528301888,0.7924528301886793,0.15487092117409626,109.5,Kenley Jansen
445276,ST,29,0.1647082294186772,82.01724137931035,1.0189655172413794,0.23275862068965517,0.10344827586206896,0.5862068965517241,0.567959411788542,130.8,Kenley Jansen
450203,CH,253,-0.22777326611192006,87.51620553359683,-1.1405138339920948,-0.3063636363636364,0.1422924901185771,0.6126482213438735,-0.0900289589375178,96.9,Charlie Morton
450203,CU,976,-1.4150159206221713,81.44006147540983,1.2800102459016394,-0.7447540983606558,0.1864754098360656,0.6629098360655737,-0.14498113940800936,94.1,Charlie Morton
450203,FC,232,-0.28272586465742816,88.03534482758621,0.0696551724137931,0.4420689655172414,0.10775862068965517,0.6594827586206896,-0.12186459683509833,95.3,Charlie Morton
450203,FF,702,-5.805912389317466,94.21339031339032,-0.9973504273504273,1.036766381766382,0.09259259259259259,0.5740740740740741,-0.82705304691132,58.9,Charlie Morton
450203,SI,385,0.4349469150588798,94.01350649350648,-1.4801298701298702,0.3635584415584416,0.06493506493506493,0.6519480519480519,0.11297322469061813,107.4,Charlie Morton
453286,CH,195,-0.09074056780097371,84.8851282051282,-1.193897435897436,0.3906666666666667,0.08205128205128205,0.49743589743589745,-0.046533624513319854,99.1,Max Scherzer
453286,CU,165,-0.27585199399978416,76.72969696969697,0.9678787878787878,-0.5343636363636364,0.10303030303030303,0.6727272727272727,-0.16718302666653587,92.9,Max Scherzer
453286,FC,24,-0.23654306891255225,88.0125,0.007916666666666667,0.65625,0.041666666666666664,0.5,-0.9855961204689676,50.7,Max Scherzer
453286,FF,674,-0.09533089238881744,93.59807121661721,-0.725593471810089,1.3469584569732937,0.09347181008902077,0.6869436201780416,-0.014144049315848286,100.8,Max Scherzer
453286,SL,332,1.924300099182611,86.36415662650603,0.3095481927710843,0.32545180722891565,0.20180722891566266,0.7259036144578314,0.5796084636092201,131.4,Max Scherzer
455119,FC,230,0.9878782696015382,91.38782608695652,0.23169565217391305,0.6625217391304348,0.12608695652173912,0.7391304347826086,0.42951229113110356,123.7,Chris Martin
455119,FF,189,0.4180188021062722,94.74867724867725,-0.6101587301587301,1.2471957671957672,0.09523809523809523,0.7195767195767195,0.221173969368398,112.9,Chris Martin
455119,FS,115,-0.022435186304936308,88.40086956521739,-0.8671304347826087,0.17617391304347826,0.1565217391304348,0.6086956521739131,-0.019508857656466354,100.5,Chris Martin
455119,SI,92,0.3368269361141883,94.27391304347827,-1.231195652173913,0.9159782608695651,0.13043478260869565,0.7065217391304348,0.3661162349067264,120.4,Chris Martin
