player_name,pitcher,gs,n_pitches,velo,whiff,zone,tot_xrv,cPV_plus
Reid Detmers,672282,0,1083,88.77608494921515,0.1615881809787627,0.6685133887349953,6.703520806663578,133.5
Adrián Morejón,670970,0,994,94.538430583501,0.11468812877263582,0.6881287726358148,5.908686316948703,132.2
Kenley Jansen,445276,0,869,91.93532796317606,0.14384349827387802,0.6962025316455697,5.128500701012869,132.0
Randy Rodríguez,678495,0,808,92.43180693069306,0.1547029702970297,0.6633663366336634,4.781502425892586,132.0
Caleb Thielbar,573204,0,826,85.71138014527845,0.13317191283292978,0.6694915254237288,4.835110631899464,131.7
Steven Matz,571927,4,1159,89.18766177739431,0.091458153580673,0.6824849007765315,6.708658979754683,131.4
Tanner Scott,656945,0,901,92.9041065482797,0.16426193118756938,0.6970033296337403,5.199552697093122,131.3
Aroldis Chapman,547973,0,917,96.14503816793894,0.2050163576881134,0.7011995637949836,4.980653809343022,129.5
José Ferrer,678606,0,1208,94.96390728476821,0.12334437086092716,0.6672185430463576,6.5030369341144985,129.3
Emmanuel Clase,661403,0,746,95.77613941018767,0.1742627345844504,0.6823056300268097,3.7040585368585686,127.1
Hoby Milner,571948,0,1157,83.18677614520311,0.06741573033707865,0.6525496974935178,5.635322548592759,126.7
Griffin Jax,643377,0,1093,91.66953339432754,0.18847209515096067,0.6770356816102471,5.288865458744979,126.5
Orion Kerkering,689147,0,1073,92.158807082945,0.1015843429636533,0.641192917054986,5.031650883652616,125.7
Nick Mears,683232,0,845,91.16461538461539,0.13727810650887573,0.6994082840236686,3.5200909659647386,123.0
Dylan Lee,669276,0,1102,88.5923774954628,0.1733212341197822,0.6742286751361162,4.576043690960889,122.9
Tommy Nance,667297,0,461,89.18112798264642,0.11496746203904555,0.6724511930585684,1.8832818682886996,122.6
Steven Wilson,621051,0,974,86.31437371663245,0.11806981519507187,0.6262833675564682,3.9005284209525684,122.2
Emilio Pagán,641941,0,1068,91.73323970037454,0.15543071161048688,0.6544943820224719,4.169034632634059,121.7
Tim Hill,657612,0,899,88.41390433815351,0.08898776418242492,0.6985539488320356,3.493194460283377,121.6
Jeremiah Estrada,669093,0,1236,92.69975728155339,0.18042071197411003,0.6642394822006472,4.690034557270901,121.1
Gabe Speier,642100,0,921,91.78154180238872,0.16069489685124863,0.6938110749185668,3.280136174789399,119.9
Shelby Miller,571946,0,704,91.75880681818181,0.1590909090909091,0.671875,2.4412939050731333,119.4
Chad Green,643338,0,709,91.78110014104372,0.1156558533145275,0.6431593794076164,2.437986804052417,119.3
Kyle Finnegan,640448,0,846,92.4160756501182,0.12293144208037825,0.6678486997635934,2.9045515387374974,119.2
Kyle Backhus,679775,0,430,86.36744186046512,0.1,0.6581395348837209,1.4444098181277214,118.9
Angel Zerpa,672582,0,1099,92.65787079162875,0.07097361237488627,0.6469517743403094,3.6555500465825754,118.7
John Curtiss,595928,0,545,91.89467889908256,0.10642201834862386,0.6513761467889908,1.7569865417741786,118.2
Drew Pomeranz,519141,0,800,90.634375,0.1225,0.66875,2.5506712015624293,118.0
Jojo Romero,668941,0,990,88.07000000000001,0.11212121212121212,0.6242424242424243,3.170248337618937,118.0
Hogan Harris,663687,2,1125,86.67937777777777,0.104,0.6391111111111111,3.3887330731462617,117.1
Chris Martin,455119,0,638,92.13134796238245,0.1206896551724138,0.7053291536050157,1.9095688133986395,117.0
Will Vest,676684,0,1137,94.2372911169745,0.1284080914687775,0.6499560246262093,3.2713308174596034,116.4
Cade Smith,671922,0,1182,93.53138747884941,0.1793570219966159,0.6742808798646363,3.386379656366187,116.3
Austin Cox,680735,3,427,87.4103044496487,0.08665105386416862,0.6182669789227166,1.2118297607081212,116.2
Jhoan Durán,661395,0,1073,96.18359739049394,0.16402609506057783,0.6607642124883504,3.0170870071661406,116.0
Josh Hader,623352,0,847,90.16481700118065,0.2231404958677686,0.680047225501771,2.3610861973912938,115.9
