player_name,pitcher,gs,n_pitches,velo,whiff,zone,tot_xrv,cPV_plus
Garrett Crochet,676979,32,3150,92.25139682539684,0.15174603174603174,0.6711111111111111,18.461635218297396,131.8
Shota Imanaga,684007,24,2107,86.22306597057428,0.13099193165638348,0.6782154722354058,12.264101930549003,131.5
Tarik Skubal,669373,30,2849,93.09648999649,0.1783081783081783,0.7030537030537031,15.99445188009528,130.5
Hunter Greene,668881,19,1748,94.8495995423341,0.16762013729977115,0.6859267734553776,9.716517746392524,130.2
Jacob Degrom,594798,30,2614,93.10937260902831,0.15608263198163733,0.6633511859219586,14.098258177744295,129.3
Drew Rasmussen,656876,30,2316,92.69296200345423,0.1079447322970639,0.6550086355785838,12.403089263609633,129.1
Cristopher Sánchez,650911,32,2895,90.36435233160621,0.15060449050086355,0.6697754749568221,14.992208237072271,128.2
Tyler Mahle,641816,16,1381,88.0833454018827,0.11585807385952208,0.6524257784214338,7.068834232907475,127.9
Janson Junk,676083,21,1622,88.20598027127004,0.09556103575832306,0.684956843403206,7.59063994506779,125.7
Trevor Rogers,669432,18,1627,88.82083589428396,0.1352181929932391,0.6822372464658881,7.056137996623077,123.9
Ryne Nelson,669194,28,2466,91.95543390105433,0.10867802108678021,0.654095701540957,10.337470660212794,123.2
Paul Skenes,694973,32,2997,92.89956623289956,0.1494828161494828,0.651317984651318,12.351240707697084,122.8
Jameson Taillon,592791,23,1979,86.84092976250632,0.10055583628094998,0.674077817079333,7.099123140368001,120.0
Nick Pivetta,601713,31,2851,87.91623991581902,0.11680112241318835,0.6580147316730972,9.982846314034306,119.6
George Kirby,669923,23,2086,91.82722914669223,0.13087248322147652,0.6519654841802492,7.141465897335366,119.2
Jacob Misiorowski,694819,15,1164,95.82611683848798,0.14776632302405499,0.654639175257732,3.9655166731910922,119.1
Chris Sale,519242,21,2031,86.74751354012803,0.14721811915312655,0.6681437715411127,6.793237259899576,118.8
Chris Paddack,663978,29,2565,88.57134502923977,0.10604288499025341,0.650682261208577,8.516679724030956,118.7
Zebby Matthews,805673,16,1353,91.92357723577236,0.14042867701404288,0.6614929785661493,4.479654416750316,118.6
